id_sortie,bateau,date_sortie,zone,espece,quantite_kg
377,Cap Horn,25/10/2023,Kerguelen nord ,Poisson des glaces,67.2
378,Curieuse,2025-08-02,Crozet-Ouest,Poulpe austral,28.4
379,Austral Leader,2024-06-23,Kerguelen-Sud,Raie,1.4
380,Albatros II,27/05/24,Crozet Est ,Langouste,146.4
381,Saint Paul,24/05/24,Crozet-Est,Langouste,137.9
382,Marion Dufresne (peche),25-08-2025,Kerguelen Nord,Legine australe,430.1
383,Kerguelen Etoile,2025-10-01,Crozet-Ouest,Legine australe,392.3
384,Pointe Geologie,09-04-2025,Zone inconnue,Legine australe,231.5
385,Saint Paul,06/08/25,Kerguelen-Nord,Raie,18.0
386,Cap Horn,13/01/2024,Kerguelen-Golfe du Morbihan,Langouste,100.6
387,Croix du Sud,14/11/2024,crozet est,Poisson des glaces,66.5
388,Curieuse,09-04-2023,Crozet-Ouest ,Poisson des glaces,85.9
389,Saint Paul,15-04-2024,Zone inconnue,Poulpe austral,21.4
390,Pointe Geologie,20-11-2025,Crozet-Est,Poisson des glaces,n/a
391,Albatros II,28-06-2025,Kerguelen-Nord,Langouste,117.2
392,Austral Leader,22-07-2025,crozet est,Poisson des glaces,29.6
393,Marion Dufresne (peche),24/07/2024,Kerguelen-Golfe du Morbihan,Langouste,109.9
394,Amsterdam I,22-08-2025,Crozet-Ouest,Poulpe austral,5.7
395,Kerguelen Etoile,2025-05-24,,Raie,5.2
396,Croix du Sud,14-05-2025,Kerguelen-Golfe du Morbihan,Raie,3.2
397,Austral Leader,19/10/2025,Crozet-Ouest,Poulpe austral,27.9
398,Amsterdam I,2024-07-02,Crozet-Ouest,Raie,11.8
399,Saint Paul,2023-06-28,Crozzet-Est,Raie,4.4
400,Austral Leader,2023-08-09,Kerguelen Nord,Poulpe austral,20.6
401,Cap Horn,14/10/23,Kerguelen-Sud,Poisson des glaces,
402,Amsterdam I,12/12/2023,kerguelen-sud,Legine australe,520.0
403,Croix du Sud,12-12-2023,Kerguelen-Sud,Poulpe austral,8.3
404,Austral Leader,15-05-2024,Crozet-Ouest,Raie,10.3
405,Croix du Sud,2023-07-01,Crozet-Ouest,Langouste,92.6
406,Kerguelen Etoile,23/06/2023,Kerguelen-Nord,Poulpe austral,24.6
407,Austral Leader,21/02/2025,Crozet-Est,Poisson des glaces,16.7
408,Albatros II,2024-12-05,crozet est,Raie,2.9
409,Amsterdam I,2024-10-20,Crozet-Est,Poulpe austral,6.5
410,Cap Horn,2023-08-07,kerguelen-sud,Raie,6.6
411,Austral Leader,07/08/25,Crozet-Est,Legine australe,730.2
412,Curieuse,05/08/2025,Crozet Est ,Legine australe,533.3
413,Saint Paul,15/05/2024,Crozet-Ouest,Legine australe,320.2
414,Pointe Geologie,04/12/2024,crozet est,Legine australe,547.5
415,Kerguelen Etoile,15-06-2024,Crozet Est ,Raie,4.5
416,Marion Dufresne (peche),09/08/24,Crozzet-Est,Poisson des glaces,80.7
417,Cap Horn,24/12/2023,,Langouste,137.6
418,Saint Paul,2025-11-15,Kerguelen-Nord,Poulpe austral,
419,Kerguelen Etoile,04/08/24,Crozet-Est,Raie,1.2
420,Amsterdam I,2025-10-24,,Raie,14.1
421,Curieuse,2023-07-22,Kerguelen-Sud,Langouste,88.2
422,Curieuse,2023-01-21,Kerguelen-Sud,Poisson des glaces,12.1
423,Saint Paul,11-04-2024,Crozet-Ouest,Poulpe austral,17.3
424,Croix du Sud,15/08/23,Kerguelen-Sud,Poisson des glaces,98.2
425,Austral Leader,14/07/2023,Crozet-Est,Legine australe,772.4
426,Albatros II,07/09/25,,Raie,16.5
427,Saint Paul,25/09/24,Kerguelen nord ,Poisson des glaces,77.1
428,Croix du Sud,12-06-2023,Kerguelen-Nord,Legine australe,
429,Kerguelen Etoile,27/03/24,Kerguelen-Golfe du Morbihan,Langouste,140.2
430,Marion Dufresne (peche),2023-08-27,Crozet Est ,Poisson des glaces,
431,Curieuse,2023-08-15,,Legine australe,86.4
432,Marion Dufresne (peche),2025-08-17,Kerguelen Nord,Langouste,102.1
433,Curieuse,13/09/24,,Langouste,144.9
434,Albatros II,05/03/24,Kerguelen-Golfe du Morbihan,Raie,11.4
435,Pointe Geologie,2025-12-18,Kerguelen-Golfe du Morbihan,Raie,18.5
436,Kerguelen Etoile,06-11-2025,Kerguelen nord ,Poulpe austral,23.7
437,Marion Dufresne (peche),27-12-2025,Zone inconnue,Legine australe,69.0
438,Kerguelen Etoile,2023-11-02,Crozet-Ouest,Raie,3.8
439,Austral Leader,07/05/2025,Kerguelen-Sud,Legine australe,556.6
440,Amsterdam I,21/12/23,Kerguelen-Nord,Legine australe,340.7
441,Pointe Geologie,01-01-2025,Kerguelen-Sud,Langouste,108.6
442,Pointe Geologie,2025-09-24,kerguelen-sud,Raie,19.7
443,Cap Horn,24/03/2023,Kerguelen-Sud,Raie,3.5
444,Curieuse,11/01/24,Kerguelen Nord,Legine australe,292.0
445,Austral Leader,27-10-2025,Kerguelen-Golfe du Morbihan,Poulpe austral,31.8
446,Pointe Geologie,06/04/2025,Kerguelen Nord,Poisson des glaces,43.3
447,Pointe Geologie,22-04-2023,Kerguelen-Nord,Langouste,96.6
448,Saint Paul,01/11/2025,Crozzet-Est,Langouste,95.9
449,Curieuse,22-01-2023,Crozet-Est,Poisson des glaces,73.8
450,Austral Leader,17/06/25,Kerguelen-Nord,Langouste,21.5
451,Cap Horn,18/09/2023,Crozet-Ouest,Langouste,69.4
452,Cap Horn,27/09/23,Crozet-Est,Langouste,
453,Pointe Geologie,03/02/2023,Kerguelen-Nord,Poulpe austral,n/a
454,Croix du Sud,13/07/24,Kerguelen-Sud,Raie,
455,Cap Horn,21/01/2025,crozet est,Legine australe,427.1
456,Albatros II,20/05/2025,Kerguelen-Sud,Poisson des glaces,67.8
457,Saint Paul,2023-09-08,Crozet-Ouest ,Langouste,134.2
458,Pointe Geologie,2023-09-28,Crozet-Est,Poulpe austral,22.4
459,Cap Horn,24-04-2024,Kerguelen-Golfe du Morbihan,Langouste,40.9
460,Albatros II,06/02/2023,Crozzet-Est,Poulpe austral,n/a
461,Cap Horn,07/02/24,,Raie,13.5
462,Cap Horn,2024-10-03,Kerguelen-Sud,Raie,6.8
463,Curieuse,19-10-2023,Zone inconnue,Langouste,
464,Croix du Sud,24/12/23,Kerguelen-Nord,Langouste,56.4
465,Saint Paul,12-08-2024,Crozet-Est,Langouste,21.5
466,Albatros II,07-09-2023,Crozet Est ,Legine australe,687.2
467,Austral Leader,2025-10-13,,Poulpe austral,36.0
468,Amsterdam I,2024-11-25,Crozet-Ouest,Poulpe austral,13.1
469,Saint Paul,03/09/25,Crozet-Est,Langouste,122.9
470,Curieuse,2025-03-25,Crozet-Ouest,Poulpe austral,27.1
471,Kerguelen Etoile,16-12-2025,Kerguelen-Sud,Langouste,n/a
472,Pointe Geologie,2023-01-22,Kerguelen-Nord,Poisson des glaces,48.2
473,Austral Leader,11/11/2023,Crozet-Ouest ,Raie,11.8
474,Marion Dufresne (peche),12/07/2025,Kerguelen-Sud,Langouste,59.4
475,Pointe Geologie,20/08/2024,Crozet-Ouest,Poisson des glaces,12.3
476,Albatros II,2023-03-06,Crozet-Est,Langouste,56.2
477,Cap Horn,16/11/24,Crozet-Ouest,Poisson des glaces,
478,Austral Leader,2023-10-19,Kerguelen-Golfe du Morbihan,Legine australe,160.1
479,Kerguelen Etoile,17/03/24,Kerguelen-Golfe du Morbihan,Legine australe,596.0
480,Albatros II,15/04/23,Kerguelen Nord,Langouste,94.1
481,Austral Leader,21/02/2025,Crozet-Est,Poisson des glaces,16.7
482,Curieuse,2024-09-09,Kerguelen-Nord,Raie,19.1
483,Curieuse,2023-07-22,Kerguelen-Sud,Langouste,88.2
484,Marion Dufresne (peche),24/07/2024,Kerguelen-Golfe du Morbihan,Langouste,109.9
485,Austral Leader,2025-10-26,Crozet-Ouest ,Poulpe austral,
486,Kerguelen Etoile,13/06/2025,Kerguelen-Sud,Langouste,n/a
487,Saint Paul,09/08/2024,Kerguelen-Nord,Poulpe austral,
488,Marion Dufresne (peche),2023-05-06,Kerguelen-Sud,Poulpe austral,30.7
